tool,EDAM operations URI,EDAM topics URI,EDAM data URI,EDAM formats URI
AFNI,"['http://edamontology.org/operation_2238', 'http://edamontology.org/operation_2238', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_3444', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_3442']",['http://edamontology.org/format_3549']
Anvi’o,"['http://edamontology.org/operation_0362', 'http://edamontology.org/operation_0310', 'http://edamontology.org/operation_3672', 'http://edamontology.org/operation_3096', 'http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3460', 'http://edamontology.org/topic_0769']","['http://edamontology.org/topic_0797', 'http://edamontology.org/topic_0085', 'http://edamontology.org/topic_3174']","['http://edamontology.org/data_0925', 'http://edamontology.org/operation_3672', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2536', 'http://edamontology.org/data_0872', 'http://edamontology.org/data_1872', 'http://edamontology.org/data_0872', 'http://edamontology.org/operation_0337']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_1910', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3475']"
Bedtools_annotate,[],[],[],"['http://edamontology.org/format_3003', 'http://edamontology.org/format_3016']"
Big-FISH,[],[],[],"['http://edamontology.org/format_3547', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591']"
COBRApy,"['http://edamontology.org/operation_2426', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_2425']","['http://edamontology.org/operation_2426', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_2259', 'http://edamontology.org/operation_3660']","['http://edamontology.org/data_2600', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2978', 'http://edamontology.org/operation_2425', 'http://edamontology.org/data_3869', 'http://edamontology.org/data_0950']","['http://edamontology.org/format_4007', 'http://edamontology.org/format_2585', 'http://edamontology.org/format_3750', 'http://edamontology.org/format_3464']"
CONCOCT,[],['http://edamontology.org/topic_3174'],['http://edamontology.org/data_0925'],"['http://edamontology.org/format_1929', 'http://edamontology.org/format_3475']"
Canu,"['http://edamontology.org/operation_0310', 'http://edamontology.org/operation_0232', 'http://edamontology.org/operation_3192']","['http://edamontology.org/operation_0524', 'http://edamontology.org/operation_3219']","['http://edamontology.org/data_0925', 'http://edamontology.org/data_0925', 'http://edamontology.org/data_0924', 'http://edamontology.org/data_1234']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_3976']"
CarveMe,"['http://edamontology.org/operation_3660', 'http://edamontology.org/operation_2426', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660']","['http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_3301', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_2259']","['http://edamontology.org/operation_0362', 'http://edamontology.org/data_0950', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2044', 'http://edamontology.org/data_2976', 'http://edamontology.org/data_0950']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_4007', 'http://edamontology.org/format_2585']"
CellPose,"['http://edamontology.org/operation_0226', 'http://edamontology.org/operation_3443', 'http://edamontology.org/operation_3443']","['http://edamontology.org/topic_2229', 'http://edamontology.org/topic_3382']","['http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_0006']","['http://edamontology.org/format_2330', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591']"
ClusterProfiler,"['http://edamontology.org/topic_0092', 'http://edamontology.org/operation_2436', 'http://edamontology.org/operation_3282', 'http://edamontology.org/operation_2436', 'http://edamontology.org/operation_3672']","['http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_2945']","['http://edamontology.org/data_3753', 'http://edamontology.org/data_2353', 'http://edamontology.org/operation_0337']","['http://edamontology.org/format_3751', 'http://edamontology.org/format_3547']"
Cytoscape,"['http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3925']","['http://edamontology.org/topic_2259', 'http://edamontology.org/topic_0602', 'http://edamontology.org/topic_0602', 'http://edamontology.org/topic_0602', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3925', 'http://edamontology.org/topic_0128', 'http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927']","['http://edamontology.org/data_2968', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_2600']","['http://edamontology.org/format_2585', 'http://edamontology.org/format_3156', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_3618', 'http://edamontology.org/format_3468', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3619', 'http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3822']"
EcClem,"['http://edamontology.org/operation_2426', 'http://edamontology.org/operation_0295']",['http://edamontology.org/topic_3382'],"['http://edamontology.org/data_2082', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_2968']","['http://edamontology.org/format_3752', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_2332']"
FMRIprep,['http://edamontology.org/operation_0337'],"['http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_0006', 'http://edamontology.org/data_2048']","['http://edamontology.org/format_2331', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_3475']"
FSL,"['http://edamontology.org/operation_3927', 'http://edamontology.org/operation_2238', 'http://edamontology.org/operation_2238', 'http://edamontology.org/topic_3384', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_3444', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_3442', 'http://edamontology.org/data_0006', 'http://edamontology.org/data_2048', 'http://edamontology.org/data_0951']","['http://edamontology.org/format_2331', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_3550']"
FastME,"['http://edamontology.org/operation_0289', 'http://edamontology.org/topic_3299', 'http://edamontology.org/operation_0551', 'http://edamontology.org/operation_0323']","['http://edamontology.org/topic_3293', 'http://edamontology.org/topic_3293']","['http://edamontology.org/data_2855', 'http://edamontology.org/data_0863', 'http://edamontology.org/data_0872', 'http://edamontology.org/data_1439']","['http://edamontology.org/format_1910', 'http://edamontology.org/format_1435']"
Fluxer,"['http://edamontology.org/operation_2486', 'http://edamontology.org/operation_2486', 'http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3660', 'http://edamontology.org/operation_3925', 'http://edamontology.org/operation_3928']","['http://edamontology.org/topic_2259', 'http://edamontology.org/operation_3660', 'http://edamontology.org/topic_3292', 'http://edamontology.org/operation_3926']","['http://edamontology.org/data_0950', 'http://edamontology.org/data_2600', 'http://edamontology.org/operation_0337', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2600']","['http://edamontology.org/format_2585', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3603']"
Freesurfer,"['http://edamontology.org/operation_3443', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3304']","['http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3444', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_3442', 'http://edamontology.org/data_0951', 'http://edamontology.org/data_0940']","['http://edamontology.org/format_3547', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3548', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_1637', 'http://edamontology.org/format_3548', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3548', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3547', 'http://edamontology.org/format_3548', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_3551', 'http://edamontology.org/format_3598']"
GSEA,"['http://edamontology.org/operation_3501', 'http://edamontology.org/operation_2436', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_2238', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_2259', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_3672', 'http://edamontology.org/operation_3928', 'http://edamontology.org/topic_0085']","['http://edamontology.org/data_2968', 'http://edamontology.org/data_1669', 'http://edamontology.org/data_3112', 'http://edamontology.org/data_2884']","['http://edamontology.org/format_3508', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3468', 'http://edamontology.org/format_3709', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_2330']"
GTDB-Tk,"['http://edamontology.org/operation_0323', 'http://edamontology.org/operation_3460']","['http://edamontology.org/topic_0797', 'http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0194', 'http://edamontology.org/operation_3460']","['http://edamontology.org/topic_3837', 'http://edamontology.org/data_0872', 'http://edamontology.org/data_1872']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_1910', 'http://edamontology.org/format_3475']"
Kraken2,"['http://edamontology.org/operation_2403', 'http://edamontology.org/operation_3460']","['http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_3168', 'http://edamontology.org/operation_3460']","['http://edamontology.org/data_3707', 'http://edamontology.org/data_1872']","['http://edamontology.org/format_1930', 'http://edamontology.org/format_2331', 'http://edamontology.org/format_3475']"
MAFFT,"['http://edamontology.org/operation_0492', 'http://edamontology.org/operation_0258']","['http://edamontology.org/topic_0797', 'http://edamontology.org/topic_3945', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_0080']","['http://edamontology.org/data_0863', 'http://edamontology.org/data_1383', 'http://edamontology.org/data_1384']","['http://edamontology.org/format_2006', 'http://edamontology.org/format_1424', 'http://edamontology.org/format_1929']"
MEGAHIT,"['http://edamontology.org/operation_0524', 'http://edamontology.org/operation_0525', 'http://edamontology.org/operation_0310']","['http://edamontology.org/operation_0524', 'http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_0196', 'http://edamontology.org/topic_3168', 'http://edamontology.org/topic_3168']",['http://edamontology.org/data_0925'],"['http://edamontology.org/format_1929', 'http://edamontology.org/format_1930']"
MOFA2,"['http://edamontology.org/operation_3658', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_2238']","['http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3935', 'http://edamontology.org/topic_4021']",['http://edamontology.org/data_2082'],"['http://edamontology.org/format_3590', 'http://edamontology.org/format_3033']"
MULTIXRANK,['http://edamontology.org/operation_3927'],"['http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927']",[],"['http://edamontology.org/format_3750', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_3619', 'http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_2330']"
MetaBAT2,[],"['http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_3168']","['http://edamontology.org/data_3707', 'http://edamontology.org/data_0925', 'http://edamontology.org/data_1265']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_1929', 'http://edamontology.org/format_3475']"
Minimap2,"['http://edamontology.org/operation_0292', 'http://edamontology.org/operation_0227']","['http://edamontology.org/topic_0080', 'http://edamontology.org/operation_0292']","['http://edamontology.org/data_0924', 'http://edamontology.org/data_0926', 'http://edamontology.org/data_1234', 'http://edamontology.org/data_0863']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_3326', 'http://edamontology.org/format_2573']"
Monocle3,"['http://edamontology.org/operation_0315', 'http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3223', 'http://edamontology.org/operation_3435', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_4028', 'http://edamontology.org/topic_4028']","['http://edamontology.org/data_2099', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_3112', 'http://edamontology.org/data_2884', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_3870', 'http://edamontology.org/data_3870']","['http://edamontology.org/format_3916', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3475']"
PhyML,"['http://edamontology.org/operation_0547', 'http://edamontology.org/operation_0323']","['http://edamontology.org/topic_0084', 'http://edamontology.org/topic_3945', 'http://edamontology.org/topic_3293']","['http://edamontology.org/data_0863', 'http://edamontology.org/data_0872', 'http://edamontology.org/data_1439']","['http://edamontology.org/format_1910', 'http://edamontology.org/format_1435']"
RWR,['http://edamontology.org/operation_3927'],"['http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_2454', 'http://edamontology.org/operation_3927']","['http://edamontology.org/data_2600', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_1772']","['http://edamontology.org/format_3619', 'http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3822', 'http://edamontology.org/format_3033']"
SNF,"['http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3432']","['http://edamontology.org/topic_4021', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3927', 'http://edamontology.org/topic_3577']","['http://edamontology.org/data_2600', 'http://edamontology.org/data_2855', 'http://edamontology.org/topic_3391', 'http://edamontology.org/topic_3391', 'http://edamontology.org/data_2082']","['http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3033']"
SPM,"['http://edamontology.org/operation_2238', 'http://edamontology.org/operation_2238', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_3444', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384', 'http://edamontology.org/topic_3384']","['http://edamontology.org/data_3442', 'http://edamontology.org/data_3442', 'http://edamontology.org/data_0006', 'http://edamontology.org/data_2048', 'http://edamontology.org/data_0951']","['http://edamontology.org/format_3548', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3626', 'http://edamontology.org/format_3549', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3696']"
STAR,"['http://edamontology.org/operation_0292', 'http://edamontology.org/operation_0227', 'http://edamontology.org/operation_3198']","['http://edamontology.org/topic_3170', 'http://edamontology.org/operation_0292']","['http://edamontology.org/data_0863', 'http://edamontology.org/data_0916', 'http://edamontology.org/data_0924', 'http://edamontology.org/data_0926']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_2306', 'http://edamontology.org/format_2573']"
Samtools_index,['http://edamontology.org/operation_0227'],"['http://edamontology.org/topic_3168', 'http://edamontology.org/operation_0292']","['http://edamontology.org/data_0863', 'http://edamontology.org/data_3210']","['http://edamontology.org/format_3327', 'http://edamontology.org/format_2572', 'http://edamontology.org/format_3326', 'http://edamontology.org/format_3462', 'http://edamontology.org/format_3326', 'http://edamontology.org/format_2573']"
Scanpy,"['http://edamontology.org/operation_0315', 'http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3223', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3435', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_4028', 'http://edamontology.org/topic_4028']","['http://edamontology.org/data_0842', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_2914', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2884', 'http://edamontology.org/data_3112', 'http://edamontology.org/data_2082', 'http://edamontology.org/data_3917', 'http://edamontology.org/data_3768', 'http://edamontology.org/data_3870', 'http://edamontology.org/data_3870']","['http://edamontology.org/format_3916', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3590', 'http://edamontology.org/format_3590', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591', 'http://edamontology.org/format_3475']"
Seurat,"['http://edamontology.org/operation_3432', 'http://edamontology.org/operation_3223', 'http://edamontology.org/operation_3935', 'http://edamontology.org/operation_3435', 'http://edamontology.org/operation_0337']","['http://edamontology.org/topic_4028', 'http://edamontology.org/data_0928']","['http://edamontology.org/data_2082', 'http://edamontology.org/data_0842', 'http://edamontology.org/data_3112', 'http://edamontology.org/data_2914', 'http://edamontology.org/data_2968', 'http://edamontology.org/data_2884', 'http://edamontology.org/data_3917', 'http://edamontology.org/data_3768']","['http://edamontology.org/format_3916', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_3590', 'http://edamontology.org/format_3579', 'http://edamontology.org/format_3508', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_2333', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3591', 'http://edamontology.org/format_3475']"
Sniffles2,['http://edamontology.org/operation_3228'],['http://edamontology.org/operation_3228'],"['http://edamontology.org/data_0863', 'http://edamontology.org/data_0926', 'http://edamontology.org/data_3498']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_3003', 'http://edamontology.org/format_1929', 'http://edamontology.org/format_3016']"
String.db,"['http://edamontology.org/operation_0337', 'http://edamontology.org/operation_3432', 'http://edamontology.org/operation_2422', 'http://edamontology.org/operation_3501', 'http://edamontology.org/operation_3927', 'http://edamontology.org/operation_3927']","['http://edamontology.org/topic_2259', 'http://edamontology.org/topic_1775', 'http://edamontology.org/operation_0276']","['http://edamontology.org/data_2976', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_1772', 'http://edamontology.org/data_2299', 'http://edamontology.org/data_2600', 'http://edamontology.org/data_1009', 'http://edamontology.org/data_2044']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_3604', 'http://edamontology.org/format_3603', 'http://edamontology.org/format_3475', 'http://edamontology.org/format_3752', 'http://edamontology.org/format_2330', 'http://edamontology.org/format_2332']"
bwa,"['http://edamontology.org/operation_0292', 'http://edamontology.org/operation_0227']","['http://edamontology.org/topic_3168', 'http://edamontology.org/operation_0292']","['http://edamontology.org/data_0863', 'http://edamontology.org/data_0926', 'http://edamontology.org/data_0924']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_2573']"
checkM2,"['http://edamontology.org/operation_0362', 'http://edamontology.org/operation_3218', 'http://edamontology.org/operation_3460']","['http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_3168', 'http://edamontology.org/operation_3460']","['http://edamontology.org/data_0925', 'http://edamontology.org/data_1872']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_3475']"
deconvolutionLab2,[],[],['http://edamontology.org/data_2968'],"['http://edamontology.org/format_3547', 'http://edamontology.org/format_3547']"
deseq2,"['http://edamontology.org/operation_3435', 'http://edamontology.org/operation_3223']","['http://edamontology.org/operation_0315', 'http://edamontology.org/topic_0203', 'http://edamontology.org/topic_3170', 'http://edamontology.org/topic_3170']","['http://edamontology.org/data_3113', 'http://edamontology.org/data_3112', 'http://edamontology.org/data_3112']",['http://edamontology.org/format_3751']
eggNOG-mapper,"['http://edamontology.org/operation_0226', 'http://edamontology.org/operation_0226', 'http://edamontology.org/operation_2403']","['http://edamontology.org/operation_0361', 'http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0623', 'http://edamontology.org/operation_1777', 'http://edamontology.org/topic_0085']","['http://edamontology.org/data_2044', 'http://edamontology.org/data_2976', 'http://edamontology.org/data_2977', 'http://edamontology.org/data_1872']","['http://edamontology.org/format_1929', 'http://edamontology.org/format_3464', 'http://edamontology.org/format_3989']"
htseq-count,[],['http://edamontology.org/topic_3170'],"['http://edamontology.org/data_3112', 'http://edamontology.org/data_0916']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_2306', 'http://edamontology.org/format_2573']"
mOTUs,"['http://edamontology.org/operation_0314', 'http://edamontology.org/operation_3460', 'http://edamontology.org/operation_0337', 'http://edamontology.org/topic_0769']","['http://edamontology.org/topic_3174', 'http://edamontology.org/topic_0084', 'http://edamontology.org/topic_0080', 'http://edamontology.org/topic_3168', 'http://edamontology.org/operation_3460']","['http://edamontology.org/data_3707', 'http://edamontology.org/data_1872']","['http://edamontology.org/format_2572', 'http://edamontology.org/format_1930', 'http://edamontology.org/format_3475']"
